DateKey,Date,Day,WeekNr,Month,Monthshort,MonthNo,Quater,Year
20200408,2020-04-08,4,15,April,Apr,4,2,2020
20200409,2020-04-09,5,15,April,Apr,4,2,2020
20200410,2020-04-10,6,15,April,Apr,4,2,2020
20200411,2020-04-11,7,15,April,Apr,4,2,2020
20200412,2020-04-12,1,16,April,Apr,4,2,2020
20200413,2020-04-13,2,16,April,Apr,4,2,2020
20200414,2020-04-14,3,16,April,Apr,4,2,2020
20200415,2020-04-15,4,16,April,Apr,4,2,2020
20200416,2020-04-16,5,16,April,Apr,4,2,2020
20200417,2020-04-17,6,16,April,Apr,4,2,2020
20200418,2020-04-18,7,16,April,Apr,4,2,2020
20200419,2020-04-19,1,17,April,Apr,4,2,2020
20200420,2020-04-20,2,17,April,Apr,4,2,2020
20200421,2020-04-21,3,17,April,Apr,4,2,2020
20200422,2020-04-22,4,17,April,Apr,4,2,2020
20200423,2020-04-23,5,17,April,Apr,4,2,2020
20200424,2020-04-24,6,17,April,Apr,4,2,2020
20200425,2020-04-25,7,17,April,Apr,4,2,2020
20200426,2020-04-26,1,18,April,Apr,4,2,2020
20200427,2020-04-27,2,18,April,Apr,4,2,2020
20200428,2020-04-28,3,18,April,Apr,4,2,2020
20200429,2020-04-29,4,18,April,Apr,4,2,2020
20200430,2020-04-30,5,18,April,Apr,4,2,2020
20200501,2020-05-01,6,18,May,May,5,2,2020
20200502,2020-05-02,7,18,May,May,5,2,2020
20200503,2020-05-03,1,19,May,May,5,2,2020
20200504,2020-05-04,2,19,May,May,5,2,2020
20200505,2020-05-05,3,19,May,May,5,2,2020
20200506,2020-05-06,4,19,May,May,5,2,2020
20200507,2020-05-07,5,19,May,May,5,2,2020
20200508,2020-05-08,6,19,May,May,5,2,2020
20200509,2020-05-09,7,19,May,May,5,2,2020
20200510,2020-05-10,1,20,May,May,5,2,2020
20200511,2020-05-11,2,20,May,May,5,2,2020
20200512,2020-05-12,3,20,May,May,5,2,2020
20200513,2020-05-13,4,20,May,May,5,2,2020
20200514,2020-05-14,5,20,May,May,5,2,2020
20200515,2020-05-15,6,20,May,May,5,2,2020
20200516,2020-05-16,7,20,May,May,5,2,2020
20200517,2020-05-17,1,21,May,May,5,2,2020
20200518,2020-05-18,2,21,May,May,5,2,2020
20200519,2020-05-19,3,21,May,May,5,2,2020
20200520,2020-05-20,4,21,May,May,5,2,2020
20200521,2020-05-21,5,21,May,May,5,2,2020
20200522,2020-05-22,6,21,May,May,5,2,2020
20200523,2020-05-23,7,21,May,May,5,2,2020
20200524,2020-05-24,1,22,May,May,5,2,2020
20200525,2020-05-25,2,22,May,May,5,2,2020
20200526,2020-05-26,3,22,May,May,5,2,2020
20200527,2020-05-27,4,22,May,May,5,2,2020
20200528,2020-05-28,5,22,May,May,5,2,2020
20200529,2020-05-29,6,22,May,May,5,2,2020
20200530,2020-05-30,7,22,May,May,5,2,2020
20200531,2020-05-31,1,23,May,May,5,2,2020
20200601,2020-06-01,2,23,June,Jun,6,2,2020
20200602,2020-06-02,3,23,June,Jun,6,2,2020
20200603,2020-06-03,4,23,June,Jun,6,2,2020
20200604,2020-06-04,5,23,June,Jun,6,2,2020
20200605,2020-06-05,6,23,June,Jun,6,2,2020
20200606,2020-06-06,7,23,June,Jun,6,2,2020
20200607,2020-06-07,1,24,June,Jun,6,2,2020
20200608,2020-06-08,2,24,June,Jun,6,2,2020
20200609,2020-06-09,3,24,June,Jun,6,2,2020
20200610,2020-06-10,4,24,June,Jun,6,2,2020
20200611,2020-06-11,5,24,June,Jun,6,2,2020
20200612,2020-06-12,6,24,June,Jun,6,2,2020
20200613,2020-06-13,7,24,June,Jun,6,2,2020
20200614,2020-06-14,1,25,June,Jun,6,2,2020
20200615,2020-06-15,2,25,June,Jun,6,2,2020
20200616,2020-06-16,3,25,June,Jun,6,2,2020
20200617,2020-06-17,4,25,June,Jun,6,2,2020
20200618,2020-06-18,5,25,June,Jun,6,2,2020
20200619,2020-06-19,6,25,June,Jun,6,2,2020
20200620,2020-06-20,7,25,June,Jun,6,2,2020
20200621,2020-06-21,1,26,June,Jun,6,2,2020
20200622,2020-06-22,2,26,June,Jun,6,2,2020
20200623,2020-06-23,3,26,June,Jun,6,2,2020
20200624,2020-06-24,4,26,June,Jun,6,2,2020
20200625,2020-06-25,5,26,June,Jun,6,2,2020
20200626,2020-06-26,6,26,June,Jun,6,2,2020
20200627,2020-06-27,7,26,June,Jun,6,2,2020
20200628,2020-06-28,1,27,June,Jun,6,2,2020
20200629,2020-06-29,2,27,June,Jun,6,2,2020
20200630,2020-06-30,3,27,June,Jun,6,2,2020
20200701,2020-07-01,4,27,July,Jul,7,3,2020
20200702,2020-07-02,5,27,July,Jul,7,3,2020
20200703,2020-07-03,6,27,July,Jul,7,3,2020
20200704,2020-07-04,7,27,July,Jul,7,3,2020
20200705,2020-07-05,1,28,July,Jul,7,3,2020
20200706,2020-07-06,2,28,July,Jul,7,3,2020
20200707,2020-07-07,3,28,July,Jul,7,3,2020
20200708,2020-07-08,4,28,July,Jul,7,3,2020
20200709,2020-07-09,5,28,July,Jul,7,3,2020
20200710,2020-07-10,6,28,July,Jul,7,3,2020
20200711,2020-07-11,7,28,July,Jul,7,3,2020
20200712,2020-07-12,1,29,July,Jul,7,3,2020
20200713,2020-07-13,2,29,July,Jul,7,3,2020
20200714,2020-07-14,3,29,July,Jul,7,3,2020
20200715,2020-07-15,4,29,July,Jul,7,3,2020
20200716,2020-07-16,5,29,July,Jul,7,3,2020
20200717,2020-07-17,6,29,July,Jul,7,3,2020
20200718,2020-07-18,7,29,July,Jul,7,3,2020
20200719,2020-07-19,1,30,July,Jul,7,3,2020
20200720,2020-07-20,2,30,July,Jul,7,3,2020
20200721,2020-07-21,3,30,July,Jul,7,3,2020
20200722,2020-07-22,4,30,July,Jul,7,3,2020
